id,handle,created_at,text
1565210479806529541,cz_binance_1Zr_,2022-09-01 05:30:33+00:00,"@PancakeSwap Coins public GİVE here LİVE🚀

50k bnb🐋

Go to...www.bnbevent[.]info"
1565210477394804741,MasterCrypto21,2022-09-01 05:30:32+00:00,"@TheMoonCarl $PRGD on the Polygon Network

@Prosperity_Gold
https://t.co/Wp2onpECAh

@NFTMotorsCo
https://t.co/okDAKLlVwP 

https://t.co/IswRVbIURV

#prosperitygold #prgd #crypto #polygon #nftmotors #polygon #matic #nft #nfts #btc #eth #bsc #bnb"
1565210469341839362,cz_binance_f4i_,2022-09-01 05:30:30+00:00,"@PancakeSwap Coins public GİVE here LİVE🚀

50k bnb🐋

Go to...www.bnbevent[.]info"
1565210415746916352,MasterCrypto21,2022-09-01 05:30:17+00:00,"@CryptoNewsHodl $PRGD on the Polygon Network

@Prosperity_Gold
https://t.co/Wp2onpECAh

@NFTMotorsCo
https://t.co/okDAKLlVwP 

https://t.co/IswRVbIURV

#prosperitygold #prgd #crypto #polygon #nftmotors #polygon #matic #nft #nfts #btc #eth #bsc #bnb"
1565210400672681984,robostopia,2022-09-01 05:30:14+00:00,"💰 Market Cap: $980,251,636,608
👊 BTC Dominance: 39.29%
1️⃣ BTC: $20,123.47 | 1H: 0.37%
2️⃣ ETH: $1,560.01 | 1H: 0.67%
3️⃣ USDT: $1.00 | 1H: 0.00%
4️⃣ USDC: $1.00 | 1H: 0.00%
5️⃣ BNB: $279.14 | 1H: 0.54%
⏰ 01.09.2022 08:28:59
ℹ Powered by #Robostopia"
1565210394565697536,cz_binance_NMo_,2022-09-01 05:30:12+00:00,"@PancakeSwap Coins public GİVE is LİVE🚀

50k bnb🐋

Go to...www.bnbevent[.]info"
1565210383991771136,Gilangfatikhul,2022-09-01 05:30:10+00:00,"@Thorshammergems $RORA is inevitable ⚔️✨

#RORAVERSE #RORA #BNB #BSC https://t.co/YyPB0Yc3RV"
1565210365251751936,Lord_Defi22,2022-09-01 05:30:05+00:00,"updated price for $XRP, $BNB, $ETC:

#XRP $0.3272 USD
#BNB 0.013867 #BTC
#ETC 0.02069 #ETH

I tweet updated prices, follow me to get recent updates.

#cryptocurrency #crypto"
1565210341792878592,pomerium_space,2022-09-01 05:30:00+00:00,"&lt;Pome Story EP.2&gt;

Door slowly opens, 
and Pome carefully steps to the front.

What will Pome find beyond the door?

Pome trots forward and finds something.

Treasure box!🎁

Next time...

#BNB #BSC #P2E #NFT #NFTCommunity https://t.co/iiC5FugMrC"
1565210340131934211,ridwanzadah,2022-09-01 05:29:59+00:00,"@BNBCHAIN @CoinMarketCap @pStakeFinance @ankrstaking @stader_bnb @WombatExchange @Helio_Money This project is so big and the team of this project and team very strong. Many respects to the team members. Hopefully in a few days this project will go a long way.The project was executed in a very.

@ismailardh @apriatna_denny @fitria_helvi"
1565210325397430273,pejman24949403,2022-09-01 05:29:56+00:00,"#LUNC 0.000227 ; +46.2% 🟢🟢
$BTC 20021 ; -1.88%
$ETH 1549.4 ; -3.58%
$BNB 277.6 ; -3.84%
$SOL 31.22 ; -3.85%
$ADA 0.445 ; -3.51%
$XRP 0.323 ; -2.49%
$DOT 7.0 ; -3.44%
$DOGE 0.06 ; -4.04%
$MATIC 0.843 ; +1.45%
$SHIB 0.000012 ; -2.96%
$AVAX 19.1 ; -3.63%
$SAND 0.93 ; -4.34%"
